epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,10958.4,0.41701,0.26427,0.90869,0.99875,1,0.995,0.93001,0.38206,0.20173,0.80419,0.0011189,0.0011189,0.0011189
180,11018.4,0.47147,0.29465,0.93435,0.99906,1,0.995,0.94332,0.36595,0.19556,0.80394,0.00111395,0.00111395,0.00111395
181,11078.6,0.43629,0.2821,0.91754,0.99894,1,0.995,0.95207,0.38572,0.20892,0.812,0.001109,0.001109,0.001109
182,11138.5,0.44529,0.28138,0.92414,0.99898,1,0.995,0.9305,0.4067,0.20508,0.82356,0.00110405,0.00110405,0.00110405
183,11198.6,0.50617,0.305,0.95148,0.9989,1,0.995,0.93177,0.42104,0.21263,0.82516,0.0010991,0.0010991,0.0010991
184,11258.6,0.46668,0.30288,0.90851,0.99771,1,0.995,0.94045,0.40416,0.22859,0.81932,0.00109415,0.00109415,0.00109415
185,11318.5,0.42856,0.28457,0.91102,0.99908,1,0.995,0.94174,0.39192,0.21091,0.81606,0.0010892,0.0010892,0.0010892
186,11378.6,0.46453,0.28724,0.93884,0.99908,1,0.995,0.94747,0.40982,0.21297,0.82438,0.00108425,0.00108425,0.00108425
187,11438.6,0.45441,0.29014,0.93602,0.99912,1,0.995,0.93804,0.41786,0.23354,0.82869,0.0010793,0.0010793,0.0010793
188,11498.7,0.44591,0.28751,0.90922,1,0.99667,0.995,0.92849,0.43868,0.23,0.85132,0.00107435,0.00107435,0.00107435
189,11558.8,0.43741,0.28441,0.92327,0.99906,1,0.995,0.94261,0.40732,0.21745,0.82853,0.0010694,0.0010694,0.0010694
190,11618.8,0.4825,0.31966,0.93345,0.99916,1,0.995,0.93451,0.39961,0.20827,0.82505,0.00106445,0.00106445,0.00106445
191,11678.8,0.4386,0.28035,0.91403,0.99708,1,0.995,0.94203,0.36628,0.20044,0.80521,0.0010595,0.0010595,0.0010595
