epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1303.7,0.72544,0.45071,0.92986,0.9907,0.99105,0.99473,0.81729,0.78729,0.41195,0.95855,0.00125854,0.00125854,0.00125854
101,1316.55,0.72173,0.43688,0.92281,0.9907,0.99315,0.99486,0.80672,0.80727,0.3956,0.95958,0.00125442,0.00125442,0.00125442
102,1330.42,0.7087,0.43589,0.92288,0.99514,0.99886,0.995,0.84146,0.74342,0.36075,0.9301,0.00125029,0.00125029,0.00125029
103,1343.82,0.7276,0.43021,0.92569,0.99829,0.99296,0.99493,0.81414,0.77692,0.36837,0.93889,0.00124617,0.00124617,0.00124617
104,1357.17,0.74,0.44326,0.92483,0.99389,0.99951,0.995,0.82445,0.75628,0.36826,0.93343,0.00124204,0.00124204,0.00124204
105,1370.31,0.72217,0.43534,0.92327,0.99853,0.99315,0.99493,0.82788,0.76704,0.3739,0.94698,0.00123791,0.00123791,0.00123791
106,1383.5,0.72967,0.45951,0.93404,0.9912,0.9863,0.99337,0.82174,0.7529,0.37717,0.93882,0.00123379,0.00123379,0.00123379
107,1396.68,0.72826,0.44782,0.93232,0.99299,0.98036,0.99336,0.825,0.76552,0.37616,0.95252,0.00122966,0.00122966,0.00122966
108,1409.63,0.74613,0.43863,0.9292,0.98139,0.9863,0.99364,0.83363,0.76183,0.38226,0.9426,0.00122554,0.00122554,0.00122554
109,1422.51,0.7084,0.42671,0.93637,0.9964,0.99064,0.99474,0.81215,0.8383,0.40336,0.96412,0.00122141,0.00122141,0.00122141
110,1435.49,0.71871,0.42997,0.92454,0.99711,0.99315,0.9948,0.8205,0.75714,0.37637,0.94768,0.00121729,0.00121729,0.00121729
111,1448.69,0.73282,0.43119,0.92973,0.99127,0.9863,0.99416,0.83371,0.74524,0.38253,0.94983,0.00121316,0.00121316,0.00121316
112,1461.63,0.74554,0.44374,0.92884,0.98986,0.99315,0.99493,0.82271,0.7556,0.38556,0.95855,0.00120903,0.00120903,0.00120903
113,1474.8,0.70765,0.42966,0.91924,0.99418,0.98708,0.99493,0.83647,0.73114,0.37975,0.93035,0.00120491,0.00120491,0.00120491
114,1487.99,0.70356,0.42854,0.92222,0.98983,0.99956,0.99486,0.82645,0.78935,0.37306,0.95444,0.00120078,0.00120078,0.00120078
115,1501.15,0.72335,0.43132,0.93066,0.99767,0.99831,0.995,0.83408,0.76221,0.37333,0.93524,0.00119666,0.00119666,0.00119666
116,1514.42,0.73846,0.43633,0.93868,0.99354,0.98454,0.99473,0.82725,0.80441,0.37784,0.94128,0.00119253,0.00119253,0.00119253
117,1527.48,0.73448,0.44498,0.93464,0.99861,0.99178,0.995,0.84472,0.74865,0.36305,0.9332,0.0011884,0.0011884,0.0011884
118,1540.51,0.72465,0.42712,0.92196,0.99161,1,0.99493,0.83733,0.72247,0.35826,0.9185,0.00118428,0.00118428,0.00118428
119,1553.45,0.72159,0.4324,0.92728,1,0.99539,0.995,0.83812,0.73537,0.36736,0.92925,0.00118015,0.00118015,0.00118015
120,1566.51,0.67482,0.40736,0.90793,0.9993,0.98618,0.99467,0.84579,0.71788,0.35224,0.91873,0.00117603,0.00117603,0.00117603
121,1579.41,0.72545,0.43997,0.92262,0.99156,0.9863,0.98927,0.83049,0.72873,0.36328,0.92681,0.0011719,0.0011719,0.0011719
122,1592.38,0.69199,0.42054,0.91594,0.994,0.99315,0.99493,0.85594,0.67587,0.349,0.91013,0.00116778,0.00116778,0.00116778
123,1605.35,0.72673,0.42396,0.91708,0.99853,0.99315,0.99493,0.84122,0.70285,0.35289,0.91258,0.00116365,0.00116365,0.00116365
124,1618.38,0.7081,0.4271,0.92073,0.99828,0.99767,0.995,0.83649,0.69176,0.34983,0.91591,0.00115952,0.00115952,0.00115952
125,1631.41,0.67147,0.41084,0.91553,0.98772,0.98611,0.99433,0.83629,0.73793,0.38388,0.93305,0.0011554,0.0011554,0.0011554
126,1644.31,0.70905,0.42559,0.91956,0.98487,0.99968,0.995,0.85119,0.73099,0.37678,0.9279,0.00115127,0.00115127,0.00115127
127,1657.27,0.70291,0.41946,0.91844,0.99928,0.99657,0.995,0.84056,0.73162,0.35514,0.93189,0.00114715,0.00114715,0.00114715
